24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
157978000,65000000,neo,1514413747,4296688500,,NEO,1.79,4.31,-9.57,0.00431716,66.1029,13,NEO,100000000,2017-12-28 06:29:07
78021500,17858987467,stellar,1514413743,4099762740,,Stellar,2.7,3.67,-10.13,1.499e-05,0.229563,14,XLM,103550799663,2017-12-28 06:29:03
530944000,73764516,qtum,1514413750,3979315333,,Qtum,0.52,-3.4,-16.76,0.00352321,53.9462,15,QTUM,100264516,2017-12-28 06:29:10
215451000,98686558,ethereum-classic,1514413747,3138252282,,Ethereum Classic,0.48,-2.88,-26.41,0.00207686,31.8002,16,ETC,98686558,2017-12-28 06:29:07
77238300,116384684,lisk,1514413746,2776123867,,Lisk,0.76,0.6,21.07,0.00155784,23.853,17,LSK,116384684,2017-12-28 06:29:06
68751100,6025054,bitconnect,1514413749,2500530150,28000000.0,BitConnect,1.02,0.85,13.61,0.027105,415.022,18,BCC,9417961,2017-12-28 06:29:09
174002000,65748192475,tron,1514413754,2394279602,,TRON,-0.22,-2.28,-21.15,2.38e-06,0.0364159,19,TRX,100000000000,2017-12-28 06:29:14
413350000,14398273770,verge,1514413743,2149345512,16555000000.0,Verge,3.28,-21.35,2.21,9.75e-06,0.149278,20,XVG,14398273770,2017-12-28 06:29:03
12295900000,16766587,bitcoin,1514414059,264127398328,21000000.0,Bitcoin,1.47,-2.88,-5.94,1.0,15753.2,1,BTC,16766587,2017-12-28 06:34:19
2093300000,96608790,ethereum,1514414049,72951326066,,Ethereum,-0.06,-1.81,-7.92,0.0491659,755.121,2,ETH,96608790,2017-12-28 06:34:09
2827260000,38739144847,ripple,1514414040,54255721924,100000000000.0,Ripple,-1.53,21.98,71.78,9.119e-05,1.40054,3,XRP,99993093880,2017-12-28 06:34:00
